Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
American Caldwell,@americancaldwel,2024-10-16T14:57:17.000Z,True,"Grow your professional worldview with these 6 international news sources. From The Times to Middle East Eye, broaden your horizons beyond US media. #GlobalNews 

Learn More: http://bit.ly/4dUorYC",0,0,0,48,['#GlobalNews'],[],[],https://pbs.twimg.com/profile_images/1554004751653691394/I1gDYoID_normal.png,https://x.com/americancaldwel/status/1846566087380422894,tweet_id:1846566087380422894
NIP - News International Pakistan,@news_nip,2024-10-16T17:38:49.000Z,True, Global Handwashing Day A flu-infected person can spread the virus for up to 7 days! Washing your hands regularly is one of the most effective ways to stop the flu from spreading.  Let’s protect ourselves and others by practicing proper hand hygiene and staying vigilant.,0,0,0,19,[],[],"['\\U0001f9fc', '\\U0001f9fc', '\\U0001f450']",https://pbs.twimg.com/profile_images/1038868903659753473/7iJuiFBH_normal.jpg,https://x.com/news_nip/status/1846606737379381297,tweet_id:1846606737379381297
SA News Channel,@SatlokChannel,2024-10-12T10:15:43.000Z,True,"On this International Day of Rural Women! Let's recognize the incredible contributions of rural women to food security, sustainable development, and gender equality.

Read Now: https://bit.ly/3FQ7eQd#RuralWomen #GenderEquality #SustainableDevelopment",8,831,958,4.4K,"['#RuralWomen', '#GenderEquality', '#SustainableDevelopment']",[],[],https://pbs.twimg.com/profile_images/1728385593468661760/_pz9y0Em_normal.jpg,https://x.com/SatlokChannel/status/1845045678264758441,tweet_id:1845045678264758441
KOMO News,@komonews,2024-10-09T04:00:00.000Z,False,"Sean O’Brien, the president of the International Brotherhood of Teamsters union, said in a podcast released Monday the Democratic Party has failed union members for decades.",104,94,637,17K,[],[],[],https://pbs.twimg.com/profile_images/1488661635300401155/RKijlz7r_normal.jpg,https://x.com/komonews/status/1843863963513074152,tweet_id:1843863963513074152
Global Opinion,@GlobalOpin56937,2024-10-10T22:06:16.000Z,False,GO NEWS con las noticias internacionales de hoy. #IsraelIranWar  #Netanyahu,0,0,1,307,"['#IsraelIranWar', '#Netanyahu']",[],[],https://pbs.twimg.com/profile_images/1770153048737792000/wC3g9Lcs_normal.jpg,https://x.com/GlobalOpin56937/status/1844499717692194933,tweet_id:1844499717692194933
BruMedia News Agency,@Brumedia_RBX,2024-10-16T00:31:38.000Z,False,"NATIONAL | The Right Honourable Prime Minister begins an official visit to the Commonwealth of Australia, meeting with leaders to strengthen diplomatic ties and discuss regional and international issues.#BruMedia",0,0,0,23,['#BruMedia'],[],"['\\U0001f1e7\\U0001f1f3', '\\U0001f91d', '\\U0001f1e6\\U0001f1fa']",https://pbs.twimg.com/profile_images/1837818318381895682/c6X8Yr5C_normal.jpg,https://x.com/Brumedia_RBX/status/1846348240842903607,tweet_id:1846348240842903607
Somoy TV,@somoytv,2024-10-09T18:50:46.000Z,True,"ভারতের শীর্ষ ব্যবসায়ী টাটা গ্রুপের কর্ণধার রতন টাটা মারা গেছেন

বিস্তারিত: https://somoynews.tv/news/2024-10-09/7BPJsJ9E…#ratantata #InternationalNews #somoytv",36,34,724,19K,"['#ratantata', '#InternationalNews', '#somoytv']",[],[],https://pbs.twimg.com/profile_images/1382563547469676544/U70E7-PZ_normal.jpg,https://x.com/somoytv/status/1844088129998946387,tweet_id:1844088129998946387
SA News Channel,@SatlokChannel,2024-10-11T05:32:42.000Z,True,"Every year we observe various international days for protecting and uplifting females, one of such observances held annually is International Day of Girl Child. Targeting gender equality, protection and equal rights for both men and women, international days like these are vital",8,591,708,2.3K,[],[],[],https://pbs.twimg.com/profile_images/1728385593468661760/_pz9y0Em_normal.jpg,https://x.com/SatlokChannel/status/1844612064553123951,tweet_id:1844612064553123951
TV Patrol,@TVPatrol,2024-10-15T13:24:29.000Z,True,"Matapos tumanggap ng Outstanding Asian Star Award sa 2024 Seoul International Drama Awards kamakailan, may panibagong pagkilala para sa Kapamilya star na si Kim Chiu. #StarPatrolPara sa iba pang balita bisitahin ang http://news.abs-cbn.com.",40,421,1.3K,111K,['#StarPatrol'],[],[],https://pbs.twimg.com/profile_images/1478215206480220160/FLAdE0bS_normal.jpg,https://x.com/TVPatrol/status/1846180346682904828,tweet_id:1846180346682904828
The International Magazine,@TheIntlMagz,2023-01-12T08:30:24.000Z,False,Latin America is bleeding by the far right forces. Peru is under a regime of US supported coup authority. Far right Bolosonaro supporters are trying to overthrow the elected President and to capture the power through the support of a section of security forces.,3,151,499,19K,[],[],[],https://pbs.twimg.com/profile_images/1306888374595141633/B1xgyiVy_normal.jpg,https://x.com/TheIntlMagz/status/1613453326963867657,tweet_id:1613453326963867657
Can Yaman News International,@CanYamanNewsInt,2024-10-10T17:07:01.000Z,True,No words needed… #CanYaman,17,98,314,3.7K,['#CanYaman'],[],"['\\U0001f4a5', '\\U0001f4a5', '\\U0001f4a5']",https://pbs.twimg.com/profile_images/1711962376877092864/nMBqa8OV_normal.jpg,https://x.com/CanYamanNewsInt/status/1844424408334770271,tweet_id:1844424408334770271
Global Opinion,@GlobalOpin56937,2024-10-16T20:02:56.000Z,False,GO NEWS con las noticias internacionales de hoy. #Macron #Netanyahu  #URGENTE,0,1,1,31,"['#Macron', '#Netanyahu', '#URGENTE']",[],[],https://pbs.twimg.com/profile_images/1770153048737792000/wC3g9Lcs_normal.jpg,https://x.com/GlobalOpin56937/status/1846643006448844805,tweet_id:1846643006448844805
UNN,@UnityNewsNet,2024-10-13T11:51:51.000Z,True,"London is awash with foreign illegitimate cash.

A money laundering and people trafficking hub of the world.

Mass migration is a key component of international capital and finance.

Yet the 'left' loves it for fear of being called a waycist. 

GDP does not make a nation!",22,204,612,11K,[],[],[],https://pbs.twimg.com/profile_images/1133287235531485190/BdNIkUda_normal.jpg,https://x.com/UnityNewsNet/status/1845432258376695946,tweet_id:1845432258376695946
Global Opinion,@GlobalOpin56937,2024-10-15T19:54:44.000Z,False,GO NEWS con las noticias internacionales de hoy. #CoreaDelSur  #CoreaDelNorte  #URGENTE,0,1,1,97,"['#CoreaDelSur', '#CoreaDelNorte', '#URGENTE']",[],[],https://pbs.twimg.com/profile_images/1770153048737792000/wC3g9Lcs_normal.jpg,https://x.com/GlobalOpin56937/status/1846278554834948603,tweet_id:1846278554834948603
